Event Time,Effect Time,Ignition Event Time,NAME,Position,Part Number,Description,Module,Socket,Cue
08:24.2,08:24.2,504.177,MS500E,Board 8,MS500E,25 Shot Silver Tourbillion Cake,2,0,8
08:24.2,08:24.2,504.177,MS500E,Board 6,MS500E,25 Shot Silver Tourbillion Cake,1,2,1
08:24.2,08:24.2,504.177,MS500E,Board 5,MS500E,25 Shot Silver Tourbillion Cake,1,1,2
08:24.2,08:24.2,504.177,MS500E,Board 3,MS500E,25 Shot Silver Tourbillion Cake,0,3,9
08:24.2,08:24.2,504.177,MS500E,Board 1,MS500E,25 Shot Silver Tourbillion Cake,0,1,4
08:24.2,08:24.2,504.177,MS500E,Board 2,MS500E,25 Shot Silver Tourbillion Cake,0,2,6
08:30.2,08:33.2,510.169,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,1,14
08:33.0,08:36.0,512.978,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,1,11
08:36.2,08:39.2,516.189,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,1,12
08:42.3,08:45.1,522.251,TM113,Board 2,TM113,81 Shot Coconut w/ Varg Pistil Cake Z Shape,0,2,2
08:43.9,08:46.9,523.881,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,1,15
09:07.4,09:10.4,547.398,690 12s Double Timerain Crackle,Board 0,690 12s Double Timerain Crackle,10 Shot Popcorn Crackle Chrys Cake,0,0,7
09:30.5,09:30.5,570.466,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 6,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,1,2,9
09:48.5,09:51.3,588.481,SE356,Board 10,SE356,7 Shot Crackling Mine To Crackling Bombard Cake Fan,2,2,9
09:51.4,09:54.4,591.406,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,2
09:54.1,09:57.1,594.092,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,5,0
09:56.0,09:59.0,595.984,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,0
09:58.6,10:01.6,598.589,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,1
10:02.3,10:05.1,602.268,TM113,Board 5,TM113,81 Shot Coconut w/ Varg Pistil Cake Z Shape,1,1,5
10:27.1,10:30.1,627.102,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,3
10:29.8,10:32.8,629.788,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,5,1
10:31.7,10:34.7,631.68,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,4
10:34.3,10:37.3,634.285,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,5
10:50.4,10:50.4,650.446,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 5,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,1,1,9
10:52.6,10:52.6,652.582,MS500 Red Tail,Board 1,MS500 Red Tail,25 Shot Silver Tourbillions Cake,0,1,3
10:54.6,10:54.6,654.582,MS500 Red Tail,Board 11,MS500 Red Tail,25 Shot Silver Tourbillions Cake,2,3,6
10:56.6,10:56.6,656.582,MS500 Red Tail,Board 3,MS500 Red Tail,25 Shot Silver Tourbillions Cake,0,3,3
10:58.6,10:58.6,658.582,MS500E,Board 4,MS500E,25 Shot Silver Tourbillion Cake,1,0,4
11:00.6,11:00.6,660.582,MS500 Red Tail,Board 5,MS500 Red Tail,25 Shot Silver Tourbillions Cake,1,1,3
11:02.6,11:02.6,662.582,MS500 Red Tail,Board 7,MS500 Red Tail,25 Shot Silver Tourbillions Cake,1,3,6
11:04.6,11:04.6,664.582,MS500 Red Tail,Board 9,MS500 Red Tail,25 Shot Silver Tourbillions Cake,2,1,1
11:13.7,11:16.7,673.688,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,5,2
11:15.8,11:18.8,675.793,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,6
11:23.5,11:23.5,683.505,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 10,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,2,2,8
11:23.5,11:23.5,683.505,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 2,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,0,2,8
11:24.0,11:27.0,683.985,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,2,0
11:26.2,11:29.2,686.161,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,5,3
11:28.3,11:31.4,688.338,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,7
11:30.5,11:33.5,690.514,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,2,1
11:32.7,11:35.7,692.691,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,2,2
11:34.9,11:37.9,694.867,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,2,3
11:37.0,11:40.1,697.044,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,2,4
11:39.2,11:42.2,699.22,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,5,4
11:41.4,11:44.4,701.397,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,5,5
11:43.6,11:46.6,703.573,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,5,6
11:45.8,11:48.8,705.75,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,5,7
11:47.9,11:50.9,707.926,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,8
11:50.1,11:53.1,710.103,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,9
11:52.3,11:55.3,712.279,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,10
11:54.5,11:57.5,714.456,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,11
11:56.6,11:59.7,716.632,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,2,5
11:58.8,12:01.8,718.809,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,5,8
12:01.0,12:04.0,720.985,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,0,12
12:25.3,12:28.1,745.252,TM120,Board 6,TM120,81 Shot z Comet To Brocade Crown w/ Falling Leaves Cake,1,2,0
12:44.7,12:47.7,764.695,GM436 27shot RWB Peony,Board 11,GM436 27shot RWB Peony,27 Shot Red White Blue Peony Cake W Shape,2,3,8
13:09.8,13:12.9,789.837,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,13
13:12.8,13:15.9,792.837,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,14
