Event Time,Effect Time,Ignition Event Time,NAME,Position,Part Number,Description,Module,Socket,Cue
29:43.9,29:46.9,1783.881,MS498 12s Finale Box Quick Crackle,Board 5,MS498 12s Finale Box Quick Crackle,12 Shot Crackling Gold Peony Cake,1,1,6
29:47.4,29:50.4,1787.404,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,14
29:52.2,29:55.3,1792.246,690 12s Double Timerain Crackle,Board 9,690 12s Double Timerain Crackle,10 Shot Popcorn Crackle Chrys Cake,2,1,3
30:11.5,30:14.3,1811.461,GM484,Board 11,GM484,12 Shot Red & White & Blue Peony Cake,2,3,5
30:34.8,30:37.6,1834.798,SE356,Board 10,SE356,7 Shot Crackling Mine To Crackling Bombard Cake Fan,2,2,10
30:34.8,30:37.6,1834.798,SE356,Board 1,SE356,7 Shot Crackling Mine To Crackling Bombard Cake Fan,0,1,10
30:37.7,30:40.7,1837.694,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,2
30:39.7,30:42.7,1839.694,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,3
30:41.7,30:44.7,1841.694,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,4
30:43.7,30:46.7,1843.694,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,5
30:45.7,30:48.7,1845.694,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,6
31:37.5,31:40.3,1897.547,TM490,Board 8,TM490,49 Shot Strobing Red & White & Blue Waterfall Cake Fan,2,0,0
32:02.4,32:05.2,1922.402,TM150,Board 6,TM150,42 Shot White Waterfall Z Shape Cake Cake,1,2,7
32:20.7,32:20.7,1940.734,479 12 Shot Brocade Crown,Board 10,479 12 Shot Brocade Crown,,2,2,4
32:55.5,32:58.3,1975.496,TM113,Board 9,TM113,81 Shot Coconut w/ Varg Pistil Cake Z Shape,2,1,7
33:21.2,33:24.2,2001.174,690 12s Double Timerain Crackle,Board 3,690 12s Double Timerain Crackle,10 Shot Popcorn Crackle Chrys Cake,0,3,4
