FIRING_HEADER_ROW,Ignition Event Time,Number Of Devices,Duration,Device Delay,Prefire Delay,Effect Name,Caliber,Position Name,Animation Description,Angles,Module Address,Slat Address,Pin Address,Product ID,Manufacturer Product ID,Animation ID,Location Primary,Location Secondary,Price Per Device,Mortar Caliber,Track Identifier
FIRING_DATA_ROW,2009.249,1,1.61,0,0,Gold Comet,"3""",Board 0,Gold Comet,,0,1,4,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2011.181,1,1.61,0,0,Gold Comet,"3""",Board 0,Gold Comet,1,1,0,3,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2011.181,1,1.61,0,0,Gold Comet,"3""",Board 1,Gold Comet,1,1,1,6,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2011.181,1,1.61,0,0,Gold Comet,"3""",Board 2,Gold Comet,1,1,2,6,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2011.181,1,1.61,0,0,Gold Comet,"3""",Board 3,Gold Comet,1,1,3,4,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2011.181,1,1.61,0,0,Gold Comet,"3""",Board 4,Gold Comet,2,2,0,3,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2011.181,1,1.61,0,0,Gold Comet,"3""",Board 5,Gold Comet,2,2,1,9,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2011.181,1,1.61,0,0,Gold Comet,"3""",Board 6,Gold Comet,,0,0,9,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2011.181,1,1.61,0,0,Gold Comet,"3""",Board 7,Gold Comet,,0,1,2,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2013.098,1,1.61,0,0,Gold Comet,"3""",Board 0,Gold Comet,1,1,0,1,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2013.098,1,1.61,0,0,Gold Comet,"3""",Board 1,Gold Comet,1,1,1,5,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2013.098,1,1.61,0,0,Gold Comet,"3""",Board 2,Gold Comet,1,1,2,5,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2013.098,1,1.61,0,0,Gold Comet,"3""",Board 3,Gold Comet,1,1,3,2,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2013.098,1,1.61,0,0,Gold Comet,"3""",Board 4,Gold Comet,2,2,0,1,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2013.098,1,1.61,0,0,Gold Comet,"3""",Board 5,Gold Comet,2,2,1,8,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2013.098,1,1.61,0,0,Gold Comet,"3""",Board 6,Gold Comet,,0,1,9,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2013.098,1,1.61,0,0,Gold Comet,"3""",Board 7,Gold Comet,2,2,0,9,Gold Wave Comet,,,,,,,
FIRING_DATA_ROW,2016.75,1,0,0,1.59,7 Shot White Strobing Comet Fan,"1""",Board 1,0s 7 Shot White Photoflash Comet Fan (1 Row),2,2,0,10,photo flash sweep,,,,,,,
FIRING_DATA_ROW,2018.15,1,0,0,1.59,7 Shot White Strobing Comet Fan,"1""",Board 6,0s 7 Shot White Photoflash Comet Fan (1 Row),,0,1,11,photo flash sweep,,,,,,,
FIRING_DATA_ROW,2019.55,1,0,0,1.59,7 Shot White Strobing Comet Fan,"1""",Board 6,0s 7 Shot White Photoflash Comet Fan (1 Row),2,2,0,11,photo flash sweep,,,,,,,
FIRING_DATA_ROW,2020.95,1,0,0,1.59,7 Shot White Strobing Comet Fan,"1""",Board 1,0s 7 Shot White Photoflash Comet Fan (1 Row),,0,1,10,photo flash sweep,,,,,,,
FIRING_DATA_ROW,2022.35,1,0,0,1.59,7 Shot White Strobing Comet Fan,"1""",Board 6,0s 7 Shot White Photoflash Comet Fan (1 Row),1,1,2,11,photo flash sweep,,,,,,,
FIRING_DATA_ROW,2054.8,1,9.7,0,0,49 Shot Gold Mine Cake Fan,"3""",Board 4,9.7s 49 Shot Gold Strobing Mine Cake Z Shape (7 Rows),1,1,2,3,GM524B,,,,,,,
FIRING_DATA_ROW,2066.663,1,12.3,0,3.02,25 Shot Gold Mine To Gold Brocade Cake,"3""",Board 3,12.3s 25 Shot Gold Mine To Gold Brocade Cake Z Shape (5 Rows),1,1,1,3,10022 Gold Mine to Gold Brocade 585A,,,,,,,
FIRING_DATA_ROW,2086.386,1,27.18,0,3.59,30 Shot Red Green Blue Yellow Pink Mine To Red Green Blue Yellow Pink Chrysanthemum Fan Cake,"5""",Board 4,27.18s 30 Shot Red Mine To Red Peony Cake Fan (5 Rows),1,1,2,0,Western Sky,,,,,,,
FIRING_DATA_ROW,2148.724,1,17.15,0,0,149 Shot Varg Comet w/ Tail Cake Z Shape,"3""",Board 3,17.15s 149 Shot Variegated Comet w/ Tail Cake Z Shape (15 Rows),1,1,1,0,10026 Golden Peacock,,,,,,,
FIRING_DATA_ROW,2163.73,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 3,Blue Dahlia Mine w/ White Strobing,1,1,1,9,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2164.095,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 1,Blue Dahlia Mine w/ White Strobing,,0,1,2,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2164.43,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 5,Blue Dahlia Mine w/ White Strobing,1,1,3,3,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2164.667,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 0,Blue Dahlia Mine w/ White Strobing,,0,0,13,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2164.997,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 6,Blue Dahlia Mine w/ White Strobing,2,2,0,2,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2165.259,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 0,Blue Dahlia Mine w/ White Strobing,,0,0,12,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2165.259,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 1,Blue Dahlia Mine w/ White Strobing,,0,1,1,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2165.259,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 2,Blue Dahlia Mine w/ White Strobing,1,1,0,2,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2165.259,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 3,Blue Dahlia Mine w/ White Strobing,1,1,1,8,blue dahlia mine w/ strobe,,,,,,,
