Ignition Event Time,Effect Name,Module ,Socket,Cue
1269.06,Actual Peacock,0,1,2
1269.06,Actual Peacock,2,3,11
1272.45,A Taste of Heat,1,4,9
1278.05,A Taste of Heat,1,0,1
1314.43,America's King,0,3,2
1314.43,America's King,2,1,0
1339.93,12s Blue Peony (Full Blown),1,1,4
1354.89,12s Blue Peony (Full Blown),1,3,6
1372.42,Mortar Placeholder,2,5,5
1378.28,Mortar,1,5,2
1381.31,Mortar,1,5,4
1386.2,Mortar,1,5,3
1391.39,Screech of Victory,0,2,5
1391.39,Screech of Victory,2,2,3
1412.41,Sea to Shining Sea,1,1,10
1412.41,Sea to Shining Sea,1,3,13
1451.73,Lemon Mine,1,4,8
1458.01,Military Tank,0,0,3
1458.01,Military Tank,2,4,10
1477.62,Crackling Mine (Full Blown),0,1,11
1477.62,Crackling Mine (Full Blown),2,3,4
1483.29,Loyalty,0,4,9
1488,Loyalty,2,0,8
1511.34,Peacock,1,0,2
1511.34,Peacock,1,4,11
1524.55,Crackling Dragon Eggs (Full Blown),0,4,4
1524.57,Crackling Dragon Eggs (Full Blown),2,0,11
1544.14,Greeen (World Class),0,2,11
1544.14,Greeen (World Class),2,2,1
1560.55,Peacock,0,0,7
1560.55,Peacock,2,4,3
1573.54,Actual Wild Time,0,1,4
1573.54,Actual Wild Time,2,3,3
1591.64,16 Shot Willow,1,0,10
1591.64,16 Shot Willow,1,4,4
1636.67,Mortar C Placeholder,1,6,4
1639.56,Mortar B Placeholder,1,5,9
1641.34,Mortar C Placeholder,1,6,6
1644.25,Mortar B Placeholder,1,5,5
1656.16,CRITICAL ACCLAIM MINE,2,5,2
1657.06,CRITICAL ACCLAIM MINE,0,5,4
1657.79,Mortar B Placeholder,1,5,8
1666.15,Femme Fatale,0,0,2
1666.26,Femme Fatale,2,4,9
1685.44,RAINBOW CRUNCH,1,2,14
1686,Mortar A Placeholder,0,5,2
1686,Mortar B Placeholder,1,5,6
1690.14,Eye of the Storm (United Pyro),1,2,7
1711.37,Mortar A Placeholder,0,5,7
1713.2,Mortar D Placeholder,2,5,7
1714.69,CRITICAL ACCLAIM MINE,0,5,3
1716.39,CRITICAL ACCLAIM MINE,2,5,1
1726.98,Rifle Range Ahead,2,0,7
1738.45,Rifle Range Ahead,0,4,12
1751.01,Not in My Yard (World Class),0,2,6
1778.18,Not in My Yard (World Class),2,2,11
1807.41,Imminent Danger (United Pyro),0,0,10
1814.08,Red Palm 12s (Full Blown),0,1,0
1819.32,Red Palm 12s (Full Blown),2,3,1
1819.5,Imminent Danger (United Pyro),2,4,8
1839.85,12s Blue Peony (Full Blown),1,3,7
1855.18,12s Blue Peony (Full Blown),1,1,6
1866.16,Fame & Fortune,1,2,12
1888.54,Grizzly Attack,1,4,2
1895.91,Grizzly Attack,1,0,6
1912.85,Lemon Mine,0,2,12
1912.85,Lemon Mine,2,2,4
1923.88,Unfair Advantage,1,2,2
1929.99,Eye of the Storm (United Pyro),0,1,8
1929.99,Eye of the Storm (United Pyro),2,3,0
1950,Mortar A Placeholder,0,5,6
1950,Mortar B Placeholder,1,5,7
1968.71,16 Shot Willow,0,0,1
1968.71,16 Shot Willow,0,4,1
1968.71,16 Shot Willow,2,0,5
1968.71,16 Shot Willow,2,4,5
1983.91,Thug,1,2,5
1987.42,Terminal Frost (United Pyro),1,2,4
1991.57,RED STROBE,0,4,3
1991.57,RED STROBE,2,0,0
2010.71,A Taste of Heat,0,4,7
2010.71,A Taste of Heat,2,0,10
2016.8,Nite Fighter (United Pyro),1,2,1
2020.76,Big Gun (World Class),0,2,8
2020.76,Big Gun (World Class),2,2,0
2022.83,Grizzly Attack,0,4,10
2022.83,Grizzly Attack,2,0,12
2044,Mortar C Placeholder,1,6,3
2044,Mortar C Placeholder,1,6,7
2044,Mortar C Placeholder,1,6,8
2044,Mortar C Placeholder,1,6,9
2048.61,FINALE RACK,1,3,14
2048.61,FINALE RACK,1,8,14
